Entity,Code,Year,Survivorship age - Sex: both - Percentile: 1,Survivorship age - Sex: both - Percentile: 10,Survivorship age - Sex: both - Percentile: 20,Survivorship age - Sex: both - Percentile: 30,Survivorship age - Sex: both - Percentile: 40,Survivorship age - Sex: both - Percentile: 50,Survivorship age - Sex: both - Percentile: 60,Survivorship age - Sex: both - Percentile: 70,Survivorship age - Sex: both - Percentile: 80,Survivorship age - Sex: both - Percentile: 90,Survivorship age - Sex: both - Percentile: 99
Australia,AUS,1921,0.2,27.3,47.7,58.4,64.8,69.7,73.7,77.3,80.9,85.7,95.9
Australia,AUS,1922,0.2,32,50.7,60.2,66,70.4,74.3,77.8,81.5,85.8,95.1
Australia,AUS,1923,0.2,30.2,49.7,59.3,65.2,69.9,73.8,77.2,80.5,85,93.7
Australia,AUS,1924,0.2,31.5,50.6,60,65.8,70.4,74.2,77.6,81.3,85.6,94.3
Australia,AUS,1925,0.2,33.3,51.6,60.6,66.3,70.8,74.5,77.9,81.5,85.8,95.2
Australia,AUS,1926,0.2,32.6,51.1,60.3,66.1,70.6,74.3,77.6,81.2,85.5,94.5
Australia,AUS,1927,0.2,32.5,51.3,60.3,66.1,70.6,74.4,77.7,81.4,85.6,94.6
Australia,AUS,1928,0.2,32.2,51.1,60.3,66.2,70.7,74.4,77.8,81.5,85.8,94.6
Australia,AUS,1929,0.2,33,51.7,60.6,66.2,70.6,74.3,77.6,81.1,85.4,93.8
Australia,AUS,1930,0.2,36,54.1,62.6,68,72.2,75.6,78.9,82.7,86.9,95.8
Australia,AUS,1931,0.3,37.9,54.7,62.8,67.9,72.1,75.3,78.6,82.2,86.3,95.3
Australia,AUS,1932,0.3,38.7,55.1,62.9,68,72.1,75.6,78.8,82.4,86.5,95.3
Australia,AUS,1933,0.3,39.1,55,62.7,67.8,71.9,75.3,78.5,82.1,86.2,94.7
Australia,AUS,1934,0.3,37.6,54.4,62.3,67.5,71.7,75.1,78.3,81.8,85.9,94.8
Australia,AUS,1935,0.3,38.6,54.6,62.4,67.4,71.5,74.9,78.2,81.8,85.9,94.7
Australia,AUS,1936,0.3,38.3,54.7,62.6,67.6,71.8,75.2,78.5,82.2,86.3,95.4
Australia,AUS,1937,0.3,39.9,55.6,62.9,67.9,72.1,75.4,78.6,82.2,86.3,95
Australia,AUS,1938,0.3,40.2,55.7,63.1,68,72.1,75.4,78.6,82.1,86.1,94.8
Australia,AUS,1939,0.3,41,56,63.2,68,72,75.3,78.4,81.8,85.8,93.8
Australia,AUS,1940,0.3,42.3,56.4,63.3,68.2,72.2,75.5,78.7,82.3,86.4,95
Australia,AUS,1941,0.3,42.8,56.7,63.5,68.3,72.1,75.4,78.5,82,86,94.5
Australia,AUS,1942,0.3,43.2,56.6,63.2,67.8,71.7,74.9,78.1,81.5,85.5,93.9
Australia,AUS,1943,0.3,44.5,57.2,63.8,68.3,72.1,75.3,78.4,81.9,85.8,94
Australia,AUS,1944,0.4,47.2,58.8,64.8,69.3,73,76.2,79.3,82.8,86.8,95.4
Australia,AUS,1945,0.5,48,59.2,65.2,69.6,73.3,76.4,79.5,82.8,86.8,95.4
Australia,AUS,1946,0.5,47.3,58.6,64.7,69.2,72.8,76,79.1,82.5,86.4,94.6
Australia,AUS,1947,0.5,48,59.1,65,69.5,73.2,76.4,79.5,83.1,87,95.2
Australia,AUS,1948,0.6,48.5,59,65,69.4,73.1,76.1,79.2,82.6,86.5,94.5
Australia,AUS,1949,0.7,49.1,59.6,65.4,69.8,73.4,76.5,79.6,83,87,95.3
Australia,AUS,1950,0.7,49.2,59.7,65.4,69.8,73.4,76.4,79.5,82.9,86.7,95
Australia,AUS,1951,0.7,48.9,59.3,65.1,69.5,73.2,76.2,79.3,82.7,86.6,94.7
Australia,AUS,1952,0.8,49.4,59.6,65.4,69.7,73.3,76.5,79.6,82.9,86.8,95
Australia,AUS,1953,0.9,50.3,60.3,66,70.3,73.8,76.9,80,83.4,87.3,95.3
