Entity,Code,Year,Life expectancy - Sex: all - Age: 0 - Variant: medium
Afghanistan,AFG,2024,66.289
Afghanistan,AFG,2025,66.538
Afghanistan,AFG,2026,66.771
Afghanistan,AFG,2027,66.985
Afghanistan,AFG,2028,67.209
Afghanistan,AFG,2029,67.433
Afghanistan,AFG,2030,67.622
Afghanistan,AFG,2031,67.829
Afghanistan,AFG,2032,68.018
Afghanistan,AFG,2033,68.212
Afghanistan,AFG,2034,68.397
Afghanistan,AFG,2035,68.596
Afghanistan,AFG,2036,68.78
Afghanistan,AFG,2037,68.955
Afghanistan,AFG,2038,69.119
Afghanistan,AFG,2039,69.287
Afghanistan,AFG,2040,69.449
Afghanistan,AFG,2041,69.607
Afghanistan,AFG,2042,69.763
Afghanistan,AFG,2043,69.912
Afghanistan,AFG,2044,70.071
Afghanistan,AFG,2045,70.219
Afghanistan,AFG,2046,70.356
Afghanistan,AFG,2047,70.501
Afghanistan,AFG,2048,70.639
Afghanistan,AFG,2049,70.788
Afghanistan,AFG,2050,70.914
Afghanistan,AFG,2051,71.052
Afghanistan,AFG,2052,71.198
Afghanistan,AFG,2053,71.341
Afghanistan,AFG,2054,71.481
Afghanistan,AFG,2055,71.612
Afghanistan,AFG,2056,71.753
Afghanistan,AFG,2057,71.887
Afghanistan,AFG,2058,72.02
Afghanistan,AFG,2059,72.161
Afghanistan,AFG,2060,72.295
Afghanistan,AFG,2061,72.428
Afghanistan,AFG,2062,72.57
Afghanistan,AFG,2063,72.709
Afghanistan,AFG,2064,72.835
Afghanistan,AFG,2065,72.967
Afghanistan,AFG,2066,73.091
Afghanistan,AFG,2067,73.222
Afghanistan,AFG,2068,73.336
Afghanistan,AFG,2069,73.459
Afghanistan,AFG,2070,73.58
Afghanistan,AFG,2071,73.702
Afghanistan,AFG,2072,73.83
Afghanistan,AFG,2073,73.966
Afghanistan,AFG,2074,74.094
Afghanistan,AFG,2075,74.224
Afghanistan,AFG,2076,74.341
Afghanistan,AFG,2077,74.461
Afghanistan,AFG,2078,74.591
Afghanistan,AFG,2079,74.717
Afghanistan,AFG,2080,74.846
Afghanistan,AFG,2081,74.986
Afghanistan,AFG,2082,75.106
Afghanistan,AFG,2083,75.229
Afghanistan,AFG,2084,75.351
Afghanistan,AFG,2085,75.475
Afghanistan,AFG,2086,75.594
Afghanistan,AFG,2087,75.722
Afghanistan,AFG,2088,75.84
Afghanistan,AFG,2089,75.966
Afghanistan,AFG,2090,76.081
Afghanistan,AFG,2091,76.201
Afghanistan,AFG,2092,76.324
Afghanistan,AFG,2093,76.442
Afghanistan,AFG,2094,76.561
Afghanistan,AFG,2095,76.68
Afghanistan,AFG,2096,76.805
Afghanistan,AFG,2097,76.944
Afghanistan,AFG,2098,77.067
Afghanistan,AFG,2099,77.194
Afghanistan,AFG,2100,77.307
Africa (UN),,2024,64.016
Africa (UN),,2025,64.209
Africa (UN),,2026,64.405
Africa (UN),,2027,64.593
Africa (UN),,2028,64.776
Africa (UN),,2029,64.955
Africa (UN),,2030,65.132
Africa (UN),,2031,65.308
Africa (UN),,2032,65.485
Africa (UN),,2033,65.661
Africa (UN),,2034,65.835
Africa (UN),,2035,66.005
Africa (UN),,2036,66.173
Africa (UN),,2037,66.343
Africa (UN),,2038,66.511
Africa (UN),,2039,66.677
Africa (UN),,2040,66.842
Africa (UN),,2041,67.003
Africa (UN),,2042,67.168
Africa (UN),,2043,67.326
Africa (UN),,2044,67.479
Africa (UN),,2045,67.636
Africa (UN),,2046,67.786
Africa (UN),,2047,67.941
Africa (UN),,2048,68.093
Africa (UN),,2049,68.242
Africa (UN),,2050,68.389
Africa (UN),,2051,68.537
Africa (UN),,2052,68.681
Africa (UN),,2053,68.825
Africa (UN),,2054,68.971
Africa (UN),,2055,69.113
Africa (UN),,2056,69.255
Africa (UN),,2057,69.391
Africa (UN),,2058,69.533
Africa (UN),,2059,69.673
Africa (UN),,2060,69.814
Africa (UN),,2061,69.953
Africa (UN),,2062,70.087
Africa (UN),,2063,70.22
Africa (UN),,2064,70.357
Africa (UN),,2065,70.493
Africa (UN),,2066,70.623
Africa (UN),,2067,70.759
Africa (UN),,2068,70.892
Africa (UN),,2069,71.022
Africa (UN),,2070,71.152
Africa (UN),,2071,71.285
Africa (UN),,2072,71.415
Africa (UN),,2073,71.542
Africa (UN),,2074,71.668
Africa (UN),,2075,71.794
Africa (UN),,2076,71.923
Africa (UN),,2077,72.044
Africa (UN),,2078,72.171
Africa (UN),,2079,72.296
Africa (UN),,2080,72.419
Africa (UN),,2081,72.543
Africa (UN),,2082,72.667
Africa (UN),,2083,72.792
Africa (UN),,2084,72.912
Africa (UN),,2085,73.03
Africa (UN),,2086,73.151
Africa (UN),,2087,73.273
Africa (UN),,2088,73.399
Africa (UN),,2089,73.522
Africa (UN),,2090,73.646
Africa (UN),,2091,73.77
Africa (UN),,2092,73.894
Africa (UN),,2093,74.018
Africa (UN),,2094,74.143
Africa (UN),,2095,74.266
Africa (UN),,2096,74.39
Africa (UN),,2097,74.513
Africa (UN),,2098,74.633
Africa (UN),,2099,74.759
Africa (UN),,2100,74.881
Albania,ALB,2024,79.776
Albania,ALB,2025,79.953
Albania,ALB,2026,80.132
Albania,ALB,2027,80.314
Albania,ALB,2028,80.493
Albania,ALB,2029,80.671
Albania,ALB,2030,80.839
Albania,ALB,2031,81.009
Albania,ALB,2032,81.189
Albania,ALB,2033,81.362
Albania,ALB,2034,81.538
Albania,ALB,2035,81.709
Albania,ALB,2036,81.881
Albania,ALB,2037,82.053
Albania,ALB,2038,82.214
Albania,ALB,2039,82.371
Albania,ALB,2040,82.54
Albania,ALB,2041,82.702
Albania,ALB,2042,82.859
Albania,ALB,2043,83.013
Albania,ALB,2044,83.176
Albania,ALB,2045,83.333
Albania,ALB,2046,83.487
Albania,ALB,2047,83.644
Albania,ALB,2048,83.792
Albania,ALB,2049,83.941
